,coords.x1,coords.x2,X,OBJECTID,Shape,ORIG_FID,DomainNum,SiteID,Source,Length,Shape_Leng,Permanent_Identifier,slope
189,-105.557484,40.042064,189,473,Point,13,D13,COMO,NA,0,1038.329174,1018,0.055488288
190,-105.557343,40.041966,190,474,Point,13,D13,COMO,NA,0,1038.329174,1018,0.06238436
191,-105.557342,40.041891,191,475,Point,13,D13,COMO,NA,0,1038.329174,1018,0.089090792
192,-105.557288,40.041771,192,476,Point,13,D13,COMO,NA,0,1038.329174,1018,0.096595489
193,-105.557352,40.041687,193,477,Point,13,D13,COMO,NA,0,1038.329174,1018,0.114411259
194,-105.557234,40.041591,194,478,Point,13,D13,COMO,NA,0,1038.329174,1018,0.10808955
195,-105.557189,40.041464,195,479,Point,13,D13,COMO,NA,0,1038.329174,1018,0.098523953
196,-105.557209,40.041372,196,480,Point,13,D13,COMO,NA,0,1038.329174,1018,0.062071892
197,-105.55721,40.041263,197,481,Point,13,D13,COMO,NA,0,1038.329174,1018,0.03864035
198,-105.557219,40.041185,198,482,Point,13,D13,COMO,NA,0,1038.329174,1018,0.076404812
199,-105.557079,40.041185,199,483,Point,13,D13,COMO,NA,0,1038.329174,1018,0.114580466
200,-105.556996,40.041044,200,484,Point,13,D13,COMO,NA,0,1038.329174,1018,0.152917141
201,-105.556983,40.040921,201,485,Point,13,D13,COMO,NA,0,1038.329174,1018,0.124843812
202,-105.556885,40.040797,202,486,Point,13,D13,COMO,NA,0,1038.329174,1018,0.13601274
203,-105.556903,40.040667,203,487,Point,13,D13,COMO,NA,0,1038.329174,1018,0.113939414
204,-105.556784,40.040605,204,488,Point,13,D13,COMO,NA,0,1038.329174,1018,0.116449698
205,-105.55666,40.040572,205,489,Point,13,D13,COMO,NA,0,1038.329174,1018,0.125449989
206,-105.556524,40.040501,206,490,Point,13,D13,COMO,NA,0,1038.329174,1018,0.167531515
207,-105.556443,40.040519,207,491,Point,13,D13,COMO,NA,0,1038.329174,1018,0.161625992
208,-105.556423,40.040402,208,492,Point,13,D13,COMO,NA,0,1038.329174,1018,0.133008554
209,-105.556562,40.040343,209,493,Point,13,D13,COMO,NA,0,1038.329174,1018,0.145448116
210,-105.556431,40.040235,210,494,Point,13,D13,COMO,NA,0,1038.329174,1018,0.123759024
211,-105.55642,40.040119,211,495,Point,13,D13,COMO,NA,0,1038.329174,1018,0.175263926
212,-105.556377,40.039985,212,496,Point,13,D13,COMO,NA,0,1038.329174,1018,0.107637465
213,-105.556261,40.039899,213,497,Point,13,D13,COMO,NA,0,1038.329174,1018,0.102757097
214,-105.556262,40.039851,214,498,Point,13,D13,COMO,NA,0,1038.329174,1018,0.026242002
215,-105.556163,40.039765,215,499,Point,13,D13,COMO,NA,0,1038.329174,1018,0.025107387
216,-105.556001,40.039719,216,500,Point,13,D13,COMO,NA,0,1038.329174,1018,0.030709719
217,-105.555829,40.039756,217,501,Point,13,D13,COMO,NA,0,1038.329174,1018,0.059536758
218,-105.555652,40.039712,218,502,Point,13,D13,COMO,NA,0,1038.329174,1018,0.062301837
219,-105.555614,40.039821,219,503,Point,13,D13,COMO,NA,0,1038.329174,1018,0.059541674
220,-105.555463,40.039857,220,504,Point,13,D13,COMO,NA,0,1038.329174,1018,0.028405603
221,-105.555319,40.039788,221,505,Point,13,D13,COMO,NA,0,1038.329174,1018,0.019599811
222,-105.555156,40.039706,222,506,Point,13,D13,COMO,NA,0,1038.329174,1018,0.009582313
223,-105.555037,40.039642,223,507,Point,13,D13,COMO,NA,0,1038.329174,1018,0.003050402
224,-105.555006,40.039493,224,508,Point,13,D13,COMO,NA,0,1038.329174,1018,0.007747132
225,-105.554897,40.039348,225,509,Point,13,D13,COMO,NA,0,1038.329174,1018,0.01963056
226,-105.5548,40.039204,226,510,Point,13,D13,COMO,NA,0,1038.329174,1018,0.02136821
227,-105.554733,40.039053,227,511,Point,13,D13,COMO,NA,0,1038.329174,1018,0.024999672
228,-105.554675,40.038911,228,512,Point,13,D13,COMO,NA,0,1038.329174,1018,0.017586965
229,-105.554817,40.038872,229,513,Point,13,D13,COMO,NA,0,1038.329174,1018,0.026559085
230,-105.554949,40.038755,230,514,Point,13,D13,COMO,NA,0,1038.329174,1018,0.032429341
231,-105.554996,40.038616,231,515,Point,13,D13,COMO,NA,0,1038.329174,1018,0.05064937
232,-105.554993,40.038518,232,516,Point,13,D13,COMO,NA,0,1038.329174,1018,0.043882563
233,-105.554958,40.038383,233,517,Point,13,D13,COMO,NA,0,1038.329174,1018,0.032882915
234,-105.554968,40.038229,234,518,Point,13,D13,COMO,NA,0,1038.329174,1018,0.013390966
235,-105.554968,40.038229,289,573,Point,15,D13,COMO,NA,0,290.834946,1018,0.014194481
236,-105.554894,40.038096,290,574,Point,15,D13,COMO,NA,0,290.834946,1018,0.161137944
237,-105.554879,40.037955,291,575,Point,15,D13,COMO,NA,0,290.834946,1018,0.179819289
238,-105.554851,40.037849,292,576,Point,15,D13,COMO,NA,0,290.834946,1018,0.224690919
239,-105.554906,40.037725,293,577,Point,15,D13,COMO,NA,0,290.834946,1018,0.07360661
240,-105.554885,40.037563,294,578,Point,15,D13,COMO,NA,0,290.834946,1018,0.05263559
241,-105.554845,40.037434,295,579,Point,15,D13,COMO,NA,0,290.834946,1018,0.002769431
242,-105.55473,40.037332,296,580,Point,15,D13,COMO,NA,0,290.834946,1018,0.004229474
243,-105.554714,40.037195,297,581,Point,15,D13,COMO,NA,0,290.834946,1018,0.004329218
244,-105.554643,40.037068,298,582,Point,15,D13,COMO,NA,0,290.834946,1018,0.004407984
245,-105.554548,40.036952,299,583,Point,15,D13,COMO,NA,0,290.834946,1018,0.005058642
246,-105.554423,40.036839,300,584,Point,15,D13,COMO,NA,0,290.834946,1018,0.006344214
247,-105.554357,40.0367,301,585,Point,15,D13,COMO,NA,0,290.834946,1018,0.007490001
248,-105.554344,40.036582,302,586,Point,15,D13,COMO,NA,0,290.834946,1018,0.00793102
249,-105.554286,40.036442,303,587,Point,15,D13,COMO,NA,0,290.834946,1018,0.008641435
250,-105.554238,40.036367,304,588,Point,15,D13,COMO,NA,0,290.834946,1018,0.010776135
251,-105.554238,40.036367,323,607,Point,17,D13,COMO,NA,0,119.869632,1018,0.010354068
252,-105.554263,40.036235,324,608,Point,17,D13,COMO,NA,0,119.869632,1018,0.008536821
253,-105.554261,40.036145,325,609,Point,17,D13,COMO,NA,0,119.869632,1018,0.009588749
254,-105.554231,40.036001,326,610,Point,17,D13,COMO,NA,0,119.869632,1018,0.007837526
255,-105.554151,40.035859,327,611,Point,17,D13,COMO,NA,0,119.869632,1018,0.006508533
256,-105.554031,40.035742,328,612,Point,17,D13,COMO,NA,0,119.869632,1018,0.009667995
257,-105.553959,40.035666,329,613,Point,17,D13,COMO,NA,0,119.869632,1018,0.017428234
258,-105.575528,40.042462,235,519,Point,14,D13,COMO,NA,0,1057.930827,1015,0.044744923
259,-105.575516,40.042322,236,520,Point,14,D13,COMO,NA,0,1057.930827,1015,0.044697659
260,-105.57534,40.042254,237,521,Point,14,D13,COMO,NA,0,1057.930827,1015,0.040772002
261,-105.575185,40.042194,238,522,Point,14,D13,COMO,NA,0,1057.930827,1015,0.016892962
262,-105.575123,40.042078,239,523,Point,14,D13,COMO,NA,0,1057.930827,1015,0.013798882
263,-105.574964,40.041971,240,524,Point,14,D13,COMO,NA,0,1057.930827,1015,0.016276971
264,-105.574873,40.041835,241,525,Point,14,D13,COMO,NA,0,1057.930827,1015,0.017814794
265,-105.574695,40.041797,242,526,Point,14,D13,COMO,NA,0,1057.930827,1015,0.019230954
266,-105.574585,40.041827,243,527,Point,14,D13,COMO,NA,0,1057.930827,1015,0.018984422
267,-105.574423,40.04179,244,528,Point,14,D13,COMO,NA,0,1057.930827,1015,0.021435149
268,-105.574278,40.041847,245,529,Point,14,D13,COMO,NA,0,1057.930827,1015,0.021142566
269,-105.574105,40.041816,246,530,Point,14,D13,COMO,NA,0,1057.930827,1015,0.024180502
270,-105.573976,40.041736,247,531,Point,14,D13,COMO,NA,0,1057.930827,1015,0.034193383
271,-105.573892,40.041607,248,532,Point,14,D13,COMO,NA,0,1057.930827,1015,0.033328482
272,-105.57387,40.041467,249,533,Point,14,D13,COMO,NA,0,1057.930827,1015,0.055135015
273,-105.573997,40.041378,250,534,Point,14,D13,COMO,NA,0,1057.930827,1015,0.0826774
274,-105.573992,40.041275,251,535,Point,14,D13,COMO,NA,0,1057.930827,1015,0.111155057
