,DayOfYear,Interp.Value,LowerBound,UpperBound,gw_min,gw_max,AvgWaterTemp_C,NEP_median,NEP_lower,NEP_upper,NEP_max,daily_NEP,atm_CO2_ppm,date,measured_discharge
107,143,24376.44252,22998.78893,26686.33264,20585.01,35003.18212,2.25636238,3.209604885,1.665713107,5.08632107,15.36496386,2.880818965,435.2729588,2023-05-23,0.553568438
108,143,24376.44252,22998.78893,26686.33264,20585.01,35003.18212,2.25636238,3.209604885,1.665713107,5.08632107,15.36496386,2.880818965,435.2729588,2018-05-23,0.905360313
109,143,24376.44252,22998.78893,26686.33264,20585.01,35003.18212,2.25636238,3.209604885,1.665713107,5.08632107,15.36496386,2.880818965,435.2729588,2021-05-23,0.351191563
110,143,24376.44252,22998.78893,26686.33264,20585.01,35003.18212,2.25636238,3.209604885,1.665713107,5.08632107,15.36496386,2.880818965,435.2729588,2019-05-23,0.23306375
111,143,24376.44252,22998.78893,26686.33264,20585.01,35003.18212,2.25636238,3.209604885,1.665713107,5.08632107,15.36496386,2.880818965,435.2729588,2022-05-23,1.151935729
112,144,24547.07222,23157.60239,26753.91088,20585.01,35003.18212,2.498295359,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,432.3384614,2019-05-24,0.231533542
113,144,24547.07222,23157.60239,26753.91088,20585.01,35003.18212,2.498295359,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,432.3384614,2020-05-23,0.555159792
114,144,24547.07222,23157.60239,26753.91088,20585.01,35003.18212,2.498295359,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,432.3384614,2023-05-24,0.498242188
115,144,24547.07222,23157.60239,26753.91088,20585.01,35003.18212,2.498295359,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,432.3384614,2018-05-24,0.882652708
116,144,24547.07222,23157.60239,26753.91088,20585.01,35003.18212,2.498295359,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,432.3384614,2021-05-24,0.319540638
117,144,24547.07222,23157.60239,26753.91088,20585.01,35003.18212,2.498295359,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,432.3384614,2022-05-24,0.973250833
118,145,24716.31127,23316.01751,26821.48912,20585.01,35003.18212,2.629211458,3.209604885,1.665713107,5.08632107,15.36496386,2.829598196,440.6975972,2019-05-25,0.237773854
119,145,24716.31127,23316.01751,26821.48912,20585.01,35003.18212,2.629211458,3.209604885,1.665713107,5.08632107,15.36496386,2.829598196,440.6975972,2023-05-25,0.465285104
120,145,24716.31127,23316.01751,26821.48912,20585.01,35003.18212,2.629211458,3.209604885,1.665713107,5.08632107,15.36496386,2.829598196,440.6975972,2020-05-24,0.528073021
121,145,24716.31127,23316.01751,26821.48912,20585.01,35003.18212,2.629211458,3.209604885,1.665713107,5.08632107,15.36496386,2.829598196,440.6975972,2021-05-25,0.306835521
122,145,24716.31127,23316.01751,26821.48912,20585.01,35003.18212,2.629211458,3.209604885,1.665713107,5.08632107,15.36496386,2.829598196,440.6975972,2018-05-25,0.969856563
123,145,24716.31127,23316.01751,26821.48912,20585.01,35003.18212,2.629211458,3.209604885,1.665713107,5.08632107,15.36496386,2.829598196,440.6975972,2022-05-25,0.838925
124,146,24884.09585,23474.01506,26889.06736,20585.01,35003.18212,3.0626125,3.209604885,1.665713107,5.08632107,15.36496386,1.30290269,436.4968934,2023-05-26,0.462363958
125,146,24884.09585,23474.01506,26889.06736,20585.01,35003.18212,3.0626125,3.209604885,1.665713107,5.08632107,15.36496386,1.30290269,436.4968934,2019-05-26,0.231164583
126,146,24884.09585,23474.01506,26889.06736,20585.01,35003.18212,3.0626125,3.209604885,1.665713107,5.08632107,15.36496386,1.30290269,436.4968934,2020-05-25,0.541032604
127,146,24884.09585,23474.01506,26889.06736,20585.01,35003.18212,3.0626125,3.209604885,1.665713107,5.08632107,15.36496386,1.30290269,436.4968934,2021-05-26,0.290557604
128,146,24884.09585,23474.01506,26889.06736,20585.01,35003.18212,3.0626125,3.209604885,1.665713107,5.08632107,15.36496386,1.30290269,436.4968934,2018-05-26,0.844380313
129,146,24884.09585,23474.01506,26889.06736,20585.01,35003.18212,3.0626125,3.209604885,1.665713107,5.08632107,15.36496386,1.30290269,436.4968934,2022-05-26,0.84728125
130,147,25050.36214,23631.57582,26956.6456,20585.01,35003.18212,2.974303125,3.209604885,1.665713107,5.08632107,15.36496386,4.011326316,441.4737069,2021-05-27,0.286414063
131,147,25050.36214,23631.57582,26956.6456,20585.01,35003.18212,2.974303125,3.209604885,1.665713107,5.08632107,15.36496386,4.011326316,441.4737069,2020-05-26,0.623295104
132,147,25050.36214,23631.57582,26956.6456,20585.01,35003.18212,2.974303125,3.209604885,1.665713107,5.08632107,15.36496386,4.011326316,441.4737069,2023-05-27,0.560495417
133,147,25050.36214,23631.57582,26956.6456,20585.01,35003.18212,2.974303125,3.209604885,1.665713107,5.08632107,15.36496386,4.011326316,441.4737069,2018-05-27,0.787927708
134,147,25050.36214,23631.57582,26956.6456,20585.01,35003.18212,2.974303125,3.209604885,1.665713107,5.08632107,15.36496386,4.011326316,441.4737069,2019-05-27,0.226228542
135,147,25050.36214,23631.57582,26956.6456,20585.01,35003.18212,2.974303125,3.209604885,1.665713107,5.08632107,15.36496386,4.011326316,441.4737069,2022-05-27,0.863735938
136,148,25215.04632,23788.68053,27024.22384,20585.01,35003.18212,3.0183127,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,441.7619104,2023-05-28,0.487414688
137,148,25215.04632,23788.68053,27024.22384,20585.01,35003.18212,3.0183127,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,441.7619104,2021-05-28,0.26741253
138,148,25215.04632,23788.68053,27024.22384,20585.01,35003.18212,3.0183127,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,441.7619104,2020-05-27,0.540868854
139,148,25215.04632,23788.68053,27024.22384,20585.01,35003.18212,3.0183127,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,441.7619104,2022-05-28,0.777997604
140,148,25215.04632,23788.68053,27024.22384,20585.01,35003.18212,3.0183127,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,441.7619104,2018-05-28,0.723311146
141,148,25215.04632,23788.68053,27024.22384,20585.01,35003.18212,3.0183127,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,441.7619104,2019-05-28,0.217673333
142,149,25378.08456,23945.30997,27091.80208,20585.01,35003.18212,2.72382636,3.209604885,1.665713107,5.08632107,15.36496386,1.710722508,436.2843102,2020-05-28,0.481790729
143,149,25378.08456,23945.30997,27091.80208,20585.01,35003.18212,2.72382636,3.209604885,1.665713107,5.08632107,15.36496386,1.710722508,436.2843102,2018-05-29,0.693104792
144,149,25378.08456,23945.30997,27091.80208,20585.01,35003.18212,2.72382636,3.209604885,1.665713107,5.08632107,15.36496386,1.710722508,436.2843102,2022-05-29,0.697754896
145,149,25378.08456,23945.30997,27091.80208,20585.01,35003.18212,2.72382636,3.209604885,1.665713107,5.08632107,15.36496386,1.710722508,436.2843102,2023-05-29,0.523265625
146,149,25378.08456,23945.30997,27091.80208,20585.01,35003.18212,2.72382636,3.209604885,1.665713107,5.08632107,15.36496386,1.710722508,436.2843102,2019-05-29,0.268255
147,149,25378.08456,23945.30997,27091.80208,20585.01,35003.18212,2.72382636,3.209604885,1.665713107,5.08632107,15.36496386,1.710722508,436.2843102,2021-05-29,0.236547234
148,150,25539.41304,24101.44489,27159.38032,20585.01,35003.18212,3.044111465,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,433.822597,2023-05-30,1.024972083
149,150,25539.41304,24101.44489,27159.38032,20585.01,35003.18212,3.044111465,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,433.822597,2018-05-30,0.665816563
150,150,25539.41304,24101.44489,27159.38032,20585.01,35003.18212,3.044111465,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,433.822597,2021-05-30,0.232510729
151,150,25539.41304,24101.44489,27159.38032,20585.01,35003.18212,3.044111465,3.209604885,1.665713107,5.08632107,15.36496386,3.209604885,433.822597,2020-05-29,0.450639583
