"Permanent_Identifier","coords.x1","coords.x2","X.1","X","OBJECTID","ORIG_FID","FDate","Resolution","GNIS_ID","GNIS_Name","LengthKM","ReachCode","FlowDir","WBArea_Per","FType","FCode","MainPath","InNetwork","Visibility","Shape_Leng","NHDPlusID","VPUID","Enabled","slope","row_count","Q_multiplier"
1007,-96.57744663,39.08813608,262,262,262,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.013888752,262,0.157266056363656
1007,-96.5777712,39.08825347,263,263,263,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.025171016,263,0.158868803102638
1007,-96.5780594,39.08844051,264,264,264,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.044898478,264,0.160548710565207
1007,-96.57832931,39.08863245,265,265,265,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.036381204,265,0.162185360866981
1007,-96.57867413,39.08861045,266,266,266,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.035843659,266,0.163735036735332
1007,-96.57897453,39.08871139,267,267,267,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.035969763,267,0.165200323456146
1007,-96.57895201,39.08902828,268,268,268,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.028537033,268,0.167024445806599
1007,-96.57880384,39.08933757,269,269,269,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.024561462,269,0.168921945004012
1007,-96.57899652,39.08959535,270,270,270,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.022869634,270,0.170636575572612
1007,-96.5793038,39.08956207,271,271,271,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.015285692,271,0.172026145256863
1007,-96.57964159,39.08954636,272,272,272,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.019466936,272,0.173541837246421
1007,-96.57989901,39.08972223,273,273,273,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.018579954,273,0.175075195331209
1007,-96.58001487,39.09000061,274,274,274,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.010661885,274,0.176757244547911
1007,-96.58034947,39.08995901,275,275,275,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.013777821,275,0.178274899683836
1007,-96.58068225,39.09002222,276,276,276,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.021758481,276,0.1798090862273
1007,-96.58102464,39.09000106,277,277,277,16,"3/26/2012",2,480856,"South Branch Kings Creek",1.104,1.02701e+13,1,NA,460,46003,0,1,0,0.011847163,2.3001e+13,1027,1,0.016004066,277,0.181347495058187
