"","coords.x1","coords.x2","FID","Shape","DomainNum","SiteID","Permanent_Identifier","Shape_Le_2","slope"
"231",-84.277027,35.965932,231,"Point","D07","WALK",1022,175.137124,0.0278841884004432
"232",-84.277142,35.965825,232,"Point","D07","WALK",1022,175.137124,0.029669423149882
"233",-84.277292,35.965714,233,"Point","D07","WALK",1022,175.137124,0.0297634526610996
"234",-84.277425,35.965585,234,"Point","D07","WALK",1022,175.137124,0.0335320039147445
"235",-84.277497,35.965486,235,"Point","D07","WALK",1022,175.137124,0.0460605946934071
"236",-84.274713,35.965675,236,"Point","D07","WALK",1023,198.809141,0.0513581453903387
"237",-84.274891,35.965613,237,"Point","D07","WALK",1023,198.809141,0.0559194960621698
"238",-84.275067,35.965576,238,"Point","D07","WALK",1023,198.809141,0.0555928082093188
"239",-84.275228,35.965633,239,"Point","D07","WALK",1023,198.809141,0.0612809466873583
"240",-84.27539,35.965733,240,"Point","D07","WALK",1023,198.809141,0.0777199017547482
"241",-84.275548,35.965832,241,"Point","D07","WALK",1023,198.809141,0.0864522966202229
"242",-84.275644,35.96598,242,"Point","D07","WALK",1023,198.809141,0.0713388023624649
"243",-84.275756,35.966095,243,"Point","D07","WALK",1023,198.809141,0.0613630278071888
"244",-84.275823,35.96625,244,"Point","D07","WALK",1023,198.809141,0.0456946842654823
"245",-84.275996,35.966328,245,"Point","D07","WALK",1023,198.809141,0.0486337365810974
"246",-84.27618,35.966375,246,"Point","D07","WALK",1023,198.809141,0.0481044991377638
"247",-84.275446,35.966936,247,"Point","D07","WALK",1024,116.967655,0.0541604463838019
"248",-84.27561,35.966886,248,"Point","D07","WALK",1024,116.967655,0.0594992825928105
"249",-84.275754,35.966817,249,"Point","D07","WALK",1024,116.967655,0.0509219853446859
"250",-84.27591,35.966724,250,"Point","D07","WALK",1024,116.967655,0.0460782095480062
"251",-84.276048,35.966626,251,"Point","D07","WALK",1024,116.967655,0.0421660563538942
"252",-84.276136,35.966495,252,"Point","D07","WALK",1024,116.967655,0.041776657749528
"253",-84.27618,35.966375,253,"Point","D07","WALK",1024,116.967655,0.0434924150898802
"254",-84.276858,35.968432,254,"Point","D07","WALK",1025,422.153233,0.04491284888948
"255",-84.276913,35.968285,255,"Point","D07","WALK",1025,422.153233,0.0417584597085008
"256",-84.277038,35.968172,256,"Point","D07","WALK",1025,422.153233,0.0354695535677541
"257",-84.277099,35.968027,257,"Point","D07","WALK",1025,422.153233,0.0263503930918384
"258",-84.277236,35.967905,258,"Point","D07","WALK",1025,422.153233,0.0199170063335229
"259",-84.277352,35.96778,259,"Point","D07","WALK",1025,422.153233,0.0190211273531188
"260",-84.277453,35.967677,260,"Point","D07","WALK",1025,422.153233,0.0153295404546734
"261",-84.277526,35.967547,261,"Point","D07","WALK",1025,422.153233,0.0192034417976782
"262",-84.277553,35.967407,262,"Point","D07","WALK",1025,422.153233,0.0177266166297156
"263",-84.277623,35.967266,263,"Point","D07","WALK",1025,422.153233,0.0150811075394066
"264",-84.277685,35.967117,264,"Point","D07","WALK",1025,422.153233,0.0230133969601845
"265",-84.277767,35.966979,265,"Point","D07","WALK",1025,422.153233,0.0229800936426275
"266",-84.277795,35.966822,266,"Point","D07","WALK",1025,422.153233,0.0393289190262768
"267",-84.277899,35.966688,267,"Point","D07","WALK",1025,422.153233,0.0402119671997995
"268",-84.277872,35.966541,268,"Point","D07","WALK",1025,422.153233,0.0415648372846857
"269",-84.277779,35.966396,269,"Point","D07","WALK",1025,422.153233,0.0253413291900232
"270",-84.277748,35.966248,270,"Point","D07","WALK",1025,422.153233,0.0143195601631269
"271",-84.277647,35.966106,271,"Point","D07","WALK",1025,422.153233,0.0165837416376751
"272",-84.277623,35.965965,272,"Point","D07","WALK",1025,422.153233,0.0242400793291404
"273",-84.277558,35.965816,273,"Point","D07","WALK",1025,422.153233,0.0349177175504386
"274",-84.277558,35.965649,274,"Point","D07","WALK",1025,422.153233,0.0385883962402667
"275",-84.277496,35.965505,275,"Point","D07","WALK",1025,422.153233,0.0418872830218678
"276",-84.277497,35.965486,276,"Point","D07","WALK",1025,422.153233,0.0418872830218678
